,light,target,name,time
0,0.0,0.0,start,2023-05-19 19:04:00
1,1e-06,5.4324247571525714e-08,start,2023-05-19 19:04:00
2,2e-06,7.423465989854132e-08,start,2023-05-19 19:04:00
3,3e-06,8.786274966719685e-08,start,2023-05-19 19:04:00
4,4e-06,9.816754252606609e-08,start,2023-05-19 19:04:00
5,5e-06,1.063448040772419e-07,start,2023-05-19 19:04:00
6,6e-06,1.130266674359987e-07,start,2023-05-19 19:04:00
7,7e-06,1.185964583164939e-07,start,2023-05-19 19:04:00
8,8e-06,1.233070938445579e-07,start,2023-05-19 19:04:00
9,9e-06,1.273353052323398e-07,start,2023-05-19 19:04:00
10,9.999999999999996e-06,1.308098444695273e-07,start,2023-05-19 19:04:00
11,1.1e-05,1.338275358705703e-07,start,2023-05-19 19:04:00
12,1.2e-05,1.364630416012838e-07,start,2023-05-19 19:04:00
13,1.3e-05,1.3877511793984e-07,start,2023-05-19 19:04:00
14,1.4e-05,1.408107917473466e-07,start,2023-05-19 19:04:00
15,1.5e-05,1.426082437118268e-07,start,2023-05-19 19:04:00
16,1.6e-05,1.441988551349036e-07,start,2023-05-19 19:04:00
17,1.7e-05,1.456086955923538e-07,start,2023-05-19 19:04:00
18,1.8e-05,1.468596262684723e-07,start,2023-05-19 19:04:00
19,1.9e-05,1.479701327073942e-07,start,2023-05-19 19:04:00
20,2e-05,1.489559630530688e-07,start,2023-05-19 19:04:00
21,2.1e-05,1.498306238876803e-07,start,2023-05-19 19:04:00
22,2.2e-05,1.506057701212368e-07,start,2023-05-19 19:04:00
23,2.3e-05,1.512915149113419e-07,start,2023-05-19 19:04:00
24,2.4e-05,1.518966784384164e-07,start,2023-05-19 19:04:00
25,2.5e-05,1.524289893819431e-07,start,2023-05-19 19:04:00
26,2.6e-05,1.528952494191455e-07,start,2023-05-19 19:04:00
27,2.7e-05,1.533014685355313e-07,start,2023-05-19 19:04:00
28,2.8e-05,1.536529770907148e-07,start,2023-05-19 19:04:00
29,2.9e-05,1.539545192219443e-07,start,2023-05-19 19:04:00
30,3e-05,1.542103311515277e-07,start,2023-05-19 19:04:00
31,3.1e-05,1.544242071971339e-07,start,2023-05-19 19:04:00
32,3.2e-05,1.545995557004905e-07,start,2023-05-19 19:04:00
33,3.3e-05,1.547394466405923e-07,start,2023-05-19 19:04:00
34,3.4e-05,1.548466523491292e-07,start,2023-05-19 19:04:00
35,3.5e-05,1.549236824742511e-07,start,2023-05-19 19:04:00
36,3.6e-05,1.549728141240868e-07,start,2023-05-19 19:04:00
37,3.7e-05,1.549961179518552e-07,start,2023-05-19 19:04:00
38,3.8e-05,1.549954808088905e-07,start,2023-05-19 19:04:00
39,3.9e-05,1.54972625483052e-07,start,2023-05-19 19:04:00
40,4e-05,1.549291279521262e-07,start,2023-05-19 19:04:00
41,4.1e-05,1.548664325107876e-07,start,2023-05-19 19:04:00
42,4.2e-05,1.547858650711973e-07,start,2023-05-19 19:04:00
43,4.3e-05,1.546886448897851e-07,start,2023-05-19 19:04:00
44,4.4e-05,1.54575894933526e-07,start,2023-05-19 19:04:00
45,4.5e-05,1.544486510662972e-07,start,2023-05-19 19:04:00
46,4.6e-05,1.543078702092313e-07,start,2023-05-19 19:04:00
47,4.7e-05,1.541544376059009e-07,start,2023-05-19 19:04:00
48,4.8e-05,1.539891733051261e-07,start,2023-05-19 19:04:00
49,4.9e-05,1.538128379573254e-07,start,2023-05-19 19:04:00
50,5e-05,1.536261380079915e-07,start,2023-05-19 19:04:00
51,5.1e-05,1.534297303596455e-07,start,2023-05-19 19:04:00
52,5.2e-05,1.532242265647313e-07,start,2023-05-19 19:04:00
53,5.3e-05,1.53010196603239e-07,start,2023-05-19 19:04:00
54,5.4e-05,1.527881722921517e-07,start,2023-05-19 19:04:00
55,5.5e-05,1.52558650367757e-07,start,2023-05-19 19:04:00
56,5.6e-05,1.52322095276609e-07,start,2023-05-19 19:04:00
57,5.7e-05,1.520789417065413e-07,start,2023-05-19 19:04:00
58,5.8e-05,1.518295968857241e-07,start,2023-05-19 19:04:00
59,5.9e-05,1.515744426735911e-07,start,2023-05-19 19:04:00
60,6e-05,1.51313837465455e-07,start,2023-05-19 19:04:00
61,6.1e-05,1.51048117929746e-07,start,2023-05-19 19:04:00
62,6.2e-05,1.507776005945089e-07,start,2023-05-19 19:04:00
63,6.3e-05,1.505025832982939e-07,start,2023-05-19 19:04:00
64,6.4e-05,1.502233465184493e-07,start,2023-05-19 19:04:00
65,6.5e-05,1.499401545889238e-07,start,2023-05-19 19:04:00
66,6.599999999999999e-05,1.49653256817795e-07,start,2023-05-19 19:04:00
67,6.7e-05,1.493628885140816e-07,start,2023-05-19 19:04:00
68,6.8e-05,1.4906927193228e-07,start,2023-05-19 19:04:00
69,6.9e-05,1.487726171420059e-07,start,2023-05-19 19:04:00
70,7e-05,1.484731228297278e-07,start,2023-05-19 19:04:00
71,7.099999999999999e-05,1.481709770383828e-07,start,2023-05-19 19:04:00
72,7.2e-05,1.478663578506804e-07,start,2023-05-19 19:04:00
73,7.3e-05,1.475594340206104e-07,start,2023-05-19 19:04:00
74,7.4e-05,1.472503655580548e-07,start,2023-05-19 19:04:00
75,7.5e-05,1.469393042700996e-07,start,2023-05-19 19:04:00
76,7.599999999999999e-05,1.466263942629788e-07,start,2023-05-19 19:04:00
