



% k1,integral
0.000000000000000,0.000000000000000
100.0000000000000,1.011772268168308E-9
200.0000000000000,1.582660768818180E-9
300.0000000000000,1.979528214164122E-9
400.0000000000000,2.294425157104452E-9
500.0000000000000,2.560410633671471E-9
600.0000000000000,2.793402408269173E-9
700.0000000000000,3.002396997758991E-9
800.0000000000000,3.193022227379871E-9
900.0000000000000,3.369055216888299E-9
1.000000000000000E3,3.533165734694525E-9
1.100000000000000E3,3.687317448407000E-9
1.200000000000000E3,3.833000996273140E-9
1.300000000000000E3,3.971377365715025E-9
1.400000000000000E3,4.103370266400658E-9
1.500000000000000E3,4.229727950469349E-9
1.600000000000000E3,4.351065926649693E-9
1.700000000000000E3,4.467897285562988E-9
1.800000000000000E3,4.580654739259256E-9
1.900000000000000E3,4.689706968782022E-9
2.000000000000000E3,4.795370969050769E-9
2.100000000000000E3,4.897921520356254E-9
2.200000000000000E3,4.997598559020539E-9
2.300000000000000E3,5.091361612082330E-9
2.400000000000000E3,5.185646807256254E-9
2.500000000000000E3,5.277693321758931E-9
2.600000000000000E3,5.367521786646622E-9
2.700000000000000E3,5.455760795190912E-9
2.800000000000000E3,5.541664486991289E-9
2.900000000000000E3,5.625791843379985E-9
3.000000000000000E3,5.708235395377926E-9
3.100000000000000E3,5.789063643941813E-9
3.200000000000000E3,5.868371435571659E-9
3.300000000000000E3,5.946233616096659E-9
3.400000000000000E3,6.022719063314845E-9
3.500000000000000E3,6.097891327316595E-9
3.600000000000000E3,6.171809185807765E-9
3.700000000000000E3,6.244527127741918E-9
3.800000000000000E3,6.316095776187785E-9
3.900000000000000E3,6.386562259452548E-9
