% k1,"Time=0, target"
0.000000000000000,0.000000000000000
100.0000000000000,19.22426176629983E-9
200.0000000000000,26.63443773706683E-9
300.0000000000000,33.64097049825760E-9
400.0000000000000,38.10817063829053E-9
500.0000000000000,39.99724632619105E-9
600.0000000000000,43.45079518184467E-9
700.0000000000000,46.61869599955836E-9
800.0000000000000,49.17934759855849E-9
900.0000000000000,51.66379711415640E-9
1.000000000000000E3,53.96048883240870E-9
1.100000000000000E3,56.06055465303235E-9
1.200000000000000E3,57.56620595834978E-9
1.300000000000000E3,59.29951356655103E-9
1.400000000000000E3,61.37771281502054E-9
1.500000000000000E3,62.77266992200850E-9
1.600000000000000E3,64.08596312023100E-9
1.700000000000000E3,65.10872490228462E-9
1.800000000000000E3,66.89319613810758E-9
1.900000000000000E3,68.53722405631552E-9
2.000000000000000E3,70.13290863403546E-9
2.100000000000000E3,71.72595389471408E-9
2.200000000000000E3,73.40348862861492E-9
2.300000000000000E3,73.95250175027402E-9
2.400000000000000E3,75.03160134942698E-9
2.500000000000000E3,69.41984994523463E-9
2.600000000000000E3,71.27991934177068E-9
2.700000000000000E3,77.99948256388402E-9
2.800000000000000E3,78.86562013997226E-9
2.900000000000000E3,79.75935306311113E-9
3.000000000000000E3,80.62131902148704E-9
3.100000000000000E3,81.45315601562652E-9
3.200000000000000E3,82.07316299699870E-9
3.300000000000000E3,82.84333301870961E-9
3.400000000000000E3,83.58753466138806E-9
3.500000000000000E3,84.34573322002126E-9
3.600000000000000E3,85.04334519618880E-9
3.700000000000000E3,85.71831661400411E-9
3.800000000000000E3,85.85324506648024E-9
3.900000000000000E3,86.46358061057595E-9
4.000000000000000E3,86.92574223476910E-9
4.100000000000000E3,87.49876906648153E-9
4.200000000000000E3,88.05444064681456E-9
4.300000000000000E3,88.58708505157473E-9
4.400000000000000E3,89.11095150258420E-9
4.500000000000000E3,89.61962687906183E-9
4.600000000000000E3,90.11370132443031E-9
4.700000000000000E3,90.59367302328027E-9
4.800000000000000E3,91.05992460807889E-9
4.900000000000000E3,91.51270324477088E-9
5.000000000000000E3,91.94055038863495E-9
5.100000000000000E3,92.36422243066065E-9
5.200000000000000E3,92.78472236768520E-9
5.300000000000000E3,93.18004860883498E-9
5.400000000000000E3,93.54634254794442E-9
5.500000000000000E3,93.88164321132368E-9
5.600000000000000E3,94.20062906516449E-9
5.700000000000000E3,94.51217206903031E-9
5.800000000000000E3,94.80804993298890E-9
5.900000000000000E3,95.09519398367306E-9
6.000000000000000E3,95.37352419496885E-9
6.100000000000000E3,95.64256818867676E-9
6.200000000000000E3,95.90690994931111E-9
6.300000000000000E3,96.16320884867980E-9
6.400000000000000E3,96.41124882150108E-9
6.500000000000000E3,96.65323564165435E-9
6.600000000000000E3,96.88824954920334E-9
6.700000000000000E3,97.11609275805664E-9
6.800000000000000E3,97.33705120367415E-9
6.900000000000000E3,97.55560730084423E-9
7.000000000000000E3,97.77198484508183E-9
7.100000000000000E3,97.98210849699238E-9
7.200000000000000E3,98.18792312665288E-9
7.300000000000000E3,98.38881094337540E-9
7.400000000000000E3,98.58422196449858E-9
7.500000000000000E3,98.77431469364126E-9
7.600000000000000E3,98.95952204552218E-9
7.700000000000000E3,99.14003784146621E-9
7.800000000000000E3,99.31591431787280E-9
7.900000000000000E3,99.48745585972128E-9
8.000000000000000E3,99.65464012464767E-9
8.100000000000000E3,99.81881539087891E-9
8.200000000000000E3,99.97926595429361E-9
8.300000000000000E3,100.1354561862864E-9
8.400000000000000E3,100.2404024287649E-9
8.500000000000000E3,100.3883649433391E-9
8.600000000000000E3,100.5333528815857E-9
8.700000000000000E3,100.6761211148581E-9
8.800000000000000E3,100.8447019987373E-9
8.900000000000000E3,100.9800709272100E-9
9.000000000000000E3,101.1118348873644E-9
9.100000000000000E3,101.2405083891000E-9
9.200000000000000E3,101.3662696389718E-9
9.300000000000000E3,101.4901728657282E-9
9.400000000000000E3,101.6108382242532E-9
9.500000000000000E3,101.7282519637414E-9
9.600000000000000E3,101.8438617544336E-9
9.700000000000000E3,101.9565941377965E-9
9.800000000000000E3,102.0663931302012E-9
9.900000000000000E3,102.1735470545688E-9
10.00000000000000E3,102.2783875979495E-9
