% Model,SOR optimaze — копия.mph
% Version,COMSOL 6.0.0.318
% Date,"May 27 2023, 13:52"
% Table,Table  - Integral
% light,k5,k9,target
1.000000000000000E-6,2.000000000000000E3,1.000000000000000E-5,5.432236652640186E-8
1.000000000000000E-6,2.000000000000000E3,1.100000000000000E-4,5.432236652501327E-8
1.000000000000000E-6,2.000000000000000E3,2.100000000000000E-4,5.432236652362440E-8
1.000000000000000E-6,2.000000000000000E3,3.100000000000001E-4,5.432236652223568E-8
1.000000000000000E-6,2.000000000000000E3,4.100000000000001E-4,5.432236652084715E-8
1.000000000000000E-6,2.000000000000000E3,5.100000000000000E-4,5.432236651945847E-8
1.000000000000000E-6,2.000000000000000E3,6.100000000000001E-4,5.432236651806974E-8
1.000000000000000E-6,2.000000000000000E3,7.100000000000000E-4,5.432236651668117E-8
1.000000000000000E-6,2.000000000000000E3,8.100000000000001E-4,5.432236651529243E-8
1.000000000000000E-6,2.000000000000000E3,9.100000000000001E-4,5.432236651390362E-8
1.000000000000000E-6,3.000000000000000E3,1.000000000000000E-5,5.411964067903195E-8
1.000000000000000E-6,3.000000000000000E3,1.100000000000000E-4,5.411964067699645E-8
1.000000000000000E-6,3.000000000000000E3,2.100000000000000E-4,5.411964067496107E-8
1.000000000000000E-6,3.000000000000000E3,3.100000000000001E-4,5.411964067292552E-8
1.000000000000000E-6,3.000000000000000E3,4.100000000000001E-4,5.411964067089009E-8
1.000000000000000E-6,3.000000000000000E3,5.100000000000000E-4,5.411964066885472E-8
1.000000000000000E-6,3.000000000000000E3,6.100000000000001E-4,5.411964066681929E-8
1.000000000000000E-6,3.000000000000000E3,7.100000000000000E-4,5.411964066478387E-8
1.000000000000000E-6,3.000000000000000E3,8.100000000000001E-4,5.411964066274825E-8
1.000000000000000E-6,3.000000000000000E3,9.100000000000001E-4,5.411964066071271E-8
1.000000000000000E-6,4.000000000000000E3,1.000000000000000E-5,5.392357805365258E-8
1.000000000000000E-6,4.000000000000000E3,1.100000000000000E-4,5.392357805099760E-8
1.000000000000000E-6,4.000000000000000E3,2.100000000000000E-4,5.392357804834268E-8
1.000000000000000E-6,4.000000000000000E3,3.100000000000001E-4,5.392357804568776E-8
1.000000000000000E-6,4.000000000000000E3,4.100000000000001E-4,5.392357804303284E-8
1.000000000000000E-6,4.000000000000000E3,5.100000000000000E-4,5.392357804037797E-8
1.000000000000000E-6,4.000000000000000E3,6.100000000000001E-4,5.392357803772307E-8
1.000000000000000E-6,4.000000000000000E3,7.100000000000000E-4,5.392357803506803E-8
1.000000000000000E-6,4.000000000000000E3,8.100000000000001E-4,5.392357803241317E-8
1.000000000000000E-6,4.000000000000000E3,9.100000000000001E-4,5.392357802975825E-8
1.000000000000000E-6,5.000000000000000E3,1.000000000000000E-5,5.373369892630502E-8
1.000000000000000E-6,5.000000000000000E3,1.100000000000000E-4,5.373369892305528E-8
1.000000000000000E-6,5.000000000000000E3,2.100000000000000E-4,5.373369891980526E-8
1.000000000000000E-6,5.000000000000000E3,3.100000000000001E-4,5.373369891655537E-8
1.000000000000000E-6,5.000000000000000E3,4.100000000000001E-4,5.373369891330563E-8
1.000000000000000E-6,5.000000000000000E3,5.100000000000000E-4,5.373369891005577E-8
1.000000000000000E-6,5.000000000000000E3,6.100000000000001E-4,5.373369890680573E-8
1.000000000000000E-6,5.000000000000000E3,7.100000000000000E-4,5.373369890355604E-8
1.000000000000000E-6,5.000000000000000E3,8.100000000000001E-4,5.373369890030605E-8
1.000000000000000E-6,5.000000000000000E3,9.100000000000001E-4,5.373369889705612E-8
1.100000000000000E-5,2.000000000000000E3,1.000000000000000E-5,1.338250268154678E-7
1.100000000000000E-5,2.000000000000000E3,1.100000000000000E-4,1.338250268114217E-7
1.100000000000000E-5,2.000000000000000E3,2.100000000000000E-4,1.338250268073746E-7
1.100000000000000E-5,2.000000000000000E3,3.100000000000001E-4,1.338250268033290E-7
1.100000000000000E-5,2.000000000000000E3,4.100000000000001E-4,1.338250267992828E-7
1.100000000000000E-5,2.000000000000000E3,5.100000000000000E-4,1.338250267952370E-7
1.100000000000000E-5,2.000000000000000E3,6.100000000000001E-4,1.338250267911899E-7
1.100000000000000E-5,2.000000000000000E3,7.100000000000000E-4,1.338250267871449E-7
1.100000000000000E-5,2.000000000000000E3,8.100000000000001E-4,1.338250267830984E-7
1.100000000000000E-5,2.000000000000000E3,9.100000000000001E-4,1.338250267790519E-7
1.100000000000000E-5,3.000000000000000E3,1.000000000000000E-5,1.332910527776943E-7
1.100000000000000E-5,3.000000000000000E3,1.100000000000000E-4,1.332910527717908E-7
1.100000000000000E-5,3.000000000000000E3,2.100000000000000E-4,1.332910527658875E-7
1.100000000000000E-5,3.000000000000000E3,3.100000000000001E-4,1.332910527599839E-7
1.100000000000000E-5,3.000000000000000E3,4.100000000000001E-4,1.332910527540800E-7
1.100000000000000E-5,3.000000000000000E3,5.100000000000000E-4,1.332910527481760E-7
1.100000000000000E-5,3.000000000000000E3,6.100000000000001E-4,1.332910527422727E-7
1.100000000000000E-5,3.000000000000000E3,7.100000000000000E-4,1.332910527363689E-7
1.100000000000000E-5,3.000000000000000E3,8.100000000000001E-4,1.332910527304653E-7
1.100000000000000E-5,3.000000000000000E3,9.100000000000001E-4,1.332910527245614E-7
1.100000000000000E-5,4.000000000000000E3,1.000000000000000E-5,1.327755768702543E-7
1.100000000000000E-5,4.000000000000000E3,1.100000000000000E-4,1.327755768625865E-7
1.100000000000000E-5,4.000000000000000E3,2.100000000000000E-4,1.327755768549186E-7
1.100000000000000E-5,4.000000000000000E3,3.100000000000001E-4,1.327755768472501E-7
1.100000000000000E-5,4.000000000000000E3,4.100000000000001E-4,1.327755768395827E-7
1.100000000000000E-5,4.000000000000000E3,5.100000000000000E-4,1.327755768319145E-7
1.100000000000000E-5,4.000000000000000E3,6.100000000000001E-4,1.327755768242467E-7
1.100000000000000E-5,4.000000000000000E3,7.100000000000000E-4,1.327755768165787E-7
1.100000000000000E-5,4.000000000000000E3,8.100000000000001E-4,1.327755768089107E-7
1.100000000000000E-5,4.000000000000000E3,9.100000000000001E-4,1.327755768012430E-7
1.100000000000000E-5,5.000000000000000E3,1.000000000000000E-5,1.322780915002820E-7
1.100000000000000E-5,5.000000000000000E3,1.100000000000000E-4,1.322780914909322E-7
1.100000000000000E-5,5.000000000000000E3,2.100000000000000E-4,1.322780914815829E-7
1.100000000000000E-5,5.000000000000000E3,3.100000000000001E-4,1.322780914722330E-7
1.100000000000000E-5,5.000000000000000E3,4.100000000000001E-4,1.322780914628837E-7
1.100000000000000E-5,5.000000000000000E3,5.100000000000000E-4,1.322780914535342E-7
1.100000000000000E-5,5.000000000000000E3,6.100000000000001E-4,1.322780914441846E-7
1.100000000000000E-5,5.000000000000000E3,7.100000000000000E-4,1.322780914348351E-7
1.100000000000000E-5,5.000000000000000E3,8.100000000000001E-4,1.322780914254856E-7
1.100000000000000E-5,5.000000000000000E3,9.100000000000001E-4,1.322780914161364E-7
2.100000000000000E-5,2.000000000000000E3,1.000000000000000E-5,1.498289540460760E-7
2.100000000000000E-5,2.000000000000000E3,1.100000000000000E-4,1.498289540410662E-7
2.100000000000000E-5,2.000000000000000E3,2.100000000000000E-4,1.498289540360567E-7
2.100000000000000E-5,2.000000000000000E3,3.100000000000001E-4,1.498289540310462E-7
2.100000000000000E-5,2.000000000000000E3,4.100000000000001E-4,1.498289540260365E-7
2.100000000000000E-5,2.000000000000000E3,5.100000000000000E-4,1.498289540210262E-7
2.100000000000000E-5,2.000000000000000E3,6.100000000000001E-4,1.498289540160166E-7
2.100000000000000E-5,2.000000000000000E3,7.100000000000000E-4,1.498289540110069E-7
2.100000000000000E-5,2.000000000000000E3,8.100000000000001E-4,1.498289540059972E-7
